Model;Scenario;Region;Variable;Unit;2010;2030;2050
NTNU_LCA;BLUE_Map;CN;Energy service requirements|PV|Construction|Iron;t/MW;84.4263;64.472;54.9423
NTNU_LCA;BLUE_Map;CN;Energy service requirements|PV|Construction|Cement;t/MW;25.9843;16.4679;13.3877
NTNU_LCA;BLUE_Map;CN;Energy service requirements|PV|Operation|Iron;t/MW/yr;0.00095146;0.00066649;0.00054443
NTNU_LCA;BLUE_Map;CN;Energy service requirements|PV|Operation|Cement;t/MW/yr;0.00018328;0.00012701;0.00010368
NTNU_LCA;BLUE_Map;CN;Energy service requirements|PV|End-of-life|Iron;t/MW;0.020685;0.016077;0.013364
NTNU_LCA;BLUE_Map;CN;Energy service requirements|PV|End-of-life|Cement;t/MW;0.0051118;0.0039725;0.0033017
NTNU_LCA;BLUE_Map;CN;Energy service requirements|CSP|Construction|Iron;t/MW;515.4687;524.4814;524.4034
NTNU_LCA;BLUE_Map;CN;Energy service requirements|CSP|Construction|Cement;t/MW;160.0653;164.2328;164.1953
NTNU_LCA;BLUE_Map;CN;Energy service requirements|CSP|Operation|Iron;t/MW/yr;0.084762;0.084603;0.084321
NTNU_LCA;BLUE_Map;CN;Energy service requirements|CSP|Operation|Cement;t/MW/yr;0.069304;0.069245;0.069125
NTNU_LCA;BLUE_Map;CN;Energy service requirements|CSP|End-of-life|Iron;t/MW;0.12245;0.12239;0.12228
NTNU_LCA;BLUE_Map;CN;Energy service requirements|CSP|End-of-life|Cement;t/MW;0.031773;0.03175;0.031702
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Hydro|Construction|Iron;t/MW;438.2633;415.1333;421.9986
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Hydro|Construction|Cement;t/MW;272.6726;258.291;262.5942
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Hydro|Operation|Iron;t/MW/yr;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Hydro|Operation|Cement;t/MW/yr;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Hydro|End-of-life|Iron;t/MW;0.38795;0.36745;0.78801
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Hydro|End-of-life|Cement;t/MW;0.036737;0.03478;0.27382
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Wind, onshore|Construction|Iron;t/MW;124.7734;128.7028;124.121
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Wind, onshore|Construction|Cement;t/MW;39.1525;40.4031;38.9661
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Wind, onshore|Operation|Iron;t/MW/yr;0.30495;0.31817;0.3069
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Wind, onshore|Operation|Cement;t/MW/yr;0.011806;0.01231;0.011857
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Wind, onshore|End-of-life|Iron;t/MW;0.025158;0.026246;0.025317
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Wind, onshore|End-of-life|Cement;t/MW;0.0092358;0.0096353;0.0092939
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Wind, offshore|Construction|Iron;t/MW;398.5604;309.6747;329.3787
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Wind, offshore|Construction|Cement;t/MW;56.0496;44.2163;43.8004
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Wind, offshore|Operation|Iron;t/MW/yr;0.91771;0.72546;0.71192
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Wind, offshore|Operation|Cement;t/MW/yr;0.031078;0.024542;0.024006
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Wind, offshore|End-of-life|Iron;t/MW;0.35086;0.27749;0.27172
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Wind, offshore|End-of-life|Cement;t/MW;0.045908;0.036267;0.035404
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Coal wo CCS|Construction|Iron;t/MW;31.302;31.4098;31.3728
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Coal wo CCS|Construction|Cement;t/MW;13.925;13.9357;13.9218
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Coal wo CCS|Operation|Iron;t/kWh;3.9027e-07;3.6719e-07;3.6414e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Coal wo CCS|Operation|Cement;t/kWh;2.3443e-07;2.2077e-07;2.1907e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Coal wo CCS|End-of-life|Iron;t/MW;0.097952;0.097943;0.097919
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Coal wo CCS|End-of-life|Cement;t/MW;0.0066534;0.006649;0.0066374
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Coal w CCS|Construction|Iron;t/MW;93.8921;92.7167;92.6444
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Coal w CCS|Construction|Cement;t/MW;32.5149;31.4663;31.4364
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Coal w CCS|Operation|Iron;t/kWh;6.55e-07;4.4136e-07;4.2235e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Coal w CCS|Operation|Cement;t/kWh;5.0624e-07;3.3714e-07;3.2299e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Coal w CCS|End-of-life|Iron;t/MW;0.097952;0.096849;0.096825
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Coal w CCS|End-of-life|Cement;t/MW;0.0066534;0.0065747;0.0065632
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Gas wo CCS|Construction|Iron;t/MW;14.7571;14.772;14.7562
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Gas wo CCS|Construction|Cement;t/MW;6.6579;6.6538;6.6477
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Gas wo CCS|Operation|Iron;t/kWh;2.2862e-07;1.9845e-07;1.9546e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Gas wo CCS|Operation|Cement;t/kWh;2.8065e-08;2.4315e-08;2.3953e-08
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Gas wo CCS|End-of-life|Iron;t/MW;0.097953;0.097944;0.097919
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Gas wo CCS|End-of-life|Cement;t/MW;0.0066534;0.006649;0.0066374
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Gas w CCS|Construction|Iron;t/MW;51.1878;51.2169;51.1847
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Gas w CCS|Construction|Cement;t/MW;16.255;16.2491;16.2351
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Gas w CCS|Operation|Iron;t/kWh;2.9901e-07;2.5747e-07;2.4421e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Gas w CCS|Operation|Cement;t/kWh;9.1084e-08;7.8444e-08;7.438e-08
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Gas w CCS|End-of-life|Iron;t/MW;0.097953;0.097944;0.097919
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Gas w CCS|End-of-life|Cement;t/MW;0.0066534;0.006649;0.0066374
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Nuclear|Construction|Iron;t/MW;75.3942;75.3731;75.365
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Nuclear|Construction|Cement;t/MW;62.0066;61.9951;61.992
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Nuclear|Operation|Iron;t/kWh;1.8268e-07;1.826e-07;1.825e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Nuclear|Operation|Cement;t/kWh;1.6888e-07;1.6884e-07;1.688e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Nuclear|End-of-life|Iron;t/MW;0.14213;0.14046;0.1404
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Nuclear|End-of-life|Cement;t/MW;0.041866;0.040872;0.040887
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX30_begr_betr_ir|Construction|Iron;t/MW;167.4804;163.1796;161.1027
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX30_begr_betr_ir|Construction|Cement;t/MW;54.718;53.3127;52.633
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX30_begr_betr_ir|Operation|Iron;t/kWh;2.4602e-06;1.8232e-06;1.7296e-06
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX30_begr_betr_ir|Operation|Cement;t/kWh;6.9609e-07;5.3287e-07;5.0843e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX30_begr_betr_ir|End-of-life|Iron;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX30_begr_betr_ir|End-of-life|Cement;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX30_begr_betr_ir|Construction|Iron;t/MW;245.4903;239.1862;236.142
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX30_begr_betr_ir|Construction|Cement;t/MW;80.2061;78.1461;77.1498
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX30_begr_betr_ir|Operation|Iron;t/kWh;3.4558e-06;2.7047e-06;2.5891e-06
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX30_begr_betr_ir|Operation|Cement;t/kWh;8.3216e-07;6.4301e-07;6.1443e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX30_begr_betr_ir|End-of-life|Iron;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX30_begr_betr_ir|End-of-life|Cement;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX30_begr_betr_rf|Construction|Iron;t/MW;167.4804;163.1796;161.1027
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX30_begr_betr_rf|Construction|Cement;t/MW;54.718;53.3127;52.633
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX30_begr_betr_rf|Operation|Iron;t/kWh;1.1062e-06;8.9232e-07;8.495e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX30_begr_betr_rf|Operation|Cement;t/kWh;4.3756e-07;3.434e-07;3.3095e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX30_begr_betr_rf|End-of-life|Iron;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX30_begr_betr_rf|End-of-life|Cement;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX30_begr_betr_rf|Construction|Iron;t/MW;245.4903;239.1862;236.142
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX30_begr_betr_rf|Construction|Cement;t/MW;80.2061;78.1461;77.1498
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX30_begr_betr_rf|Operation|Iron;t/kWh;1.8929e-06;1.6302e-06;1.5731e-06
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX30_begr_betr_rf|Operation|Cement;t/kWh;5.3373e-07;4.243e-07;4.0956e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX30_begr_betr_rf|End-of-life|Iron;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX30_begr_betr_rf|End-of-life|Cement;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX30_betr_rf|Construction|Iron;t/MW;167.4804;163.1796;161.1027
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX30_betr_rf|Construction|Cement;t/MW;54.718;53.3127;52.633
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX30_betr_rf|Operation|Iron;t/kWh;1.7364e-06;1.3287e-06;1.3104e-06
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX30_betr_rf|Operation|Cement;t/kWh;7.3819e-07;5.4725e-07;5.5836e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX30_betr_rf|End-of-life|Iron;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX30_betr_rf|End-of-life|Cement;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX30_betr_rf|Construction|Iron;t/MW;245.4903;239.1862;236.142
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX30_betr_rf|Construction|Cement;t/MW;80.2061;78.1461;77.1498
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX30_betr_rf|Operation|Iron;t/kWh;2.6204e-06;2.1339e-06;2.1051e-06
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX30_betr_rf|Operation|Cement;t/kWh;8.8076e-07;6.5961e-07;6.7207e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX30_betr_rf|End-of-life|Iron;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX30_betr_rf|End-of-life|Cement;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX5_begr_betr_ir|Construction|Iron;t/MW;167.4804;163.1796;161.1027
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX5_begr_betr_ir|Construction|Cement;t/MW;54.718;53.3127;52.633
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX5_begr_betr_ir|Operation|Iron;t/kWh;3.9891e-06;2.5004e-06;3.4637e-06
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX5_begr_betr_ir|Operation|Cement;t/kWh;1.0595e-06;7.175e-07;9.2244e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX5_begr_betr_ir|End-of-life|Iron;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX5_begr_betr_ir|End-of-life|Cement;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX5_begr_betr_ir|Construction|Iron;t/MW;245.4903;239.1862;236.142
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX5_begr_betr_ir|Construction|Cement;t/MW;80.2061;78.1461;77.1498
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX5_begr_betr_ir|Operation|Iron;t/kWh;5.2207e-06;3.4865e-06;4.5908e-06
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX5_begr_betr_ir|Operation|Cement;t/kWh;1.2516e-06;8.5613e-07;1.0923e-06
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX5_begr_betr_ir|End-of-life|Iron;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX5_begr_betr_ir|End-of-life|Cement;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX5_begr_betr_rf|Construction|Iron;t/MW;167.4804;163.1796;161.1027
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX5_begr_betr_rf|Construction|Cement;t/MW;54.718;53.3127;52.633
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX5_begr_betr_rf|Operation|Iron;t/kWh;1.1043e-06;9.6578e-07;9.1769e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX5_begr_betr_rf|Operation|Cement;t/kWh;4.4124e-07;3.7704e-07;3.571e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX5_begr_betr_rf|End-of-life|Iron;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX5_begr_betr_rf|End-of-life|Cement;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX5_begr_betr_rf|Construction|Iron;t/MW;245.4903;239.1862;236.142
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX5_begr_betr_rf|Construction|Cement;t/MW;80.2061;78.1461;77.1498
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX5_begr_betr_rf|Operation|Iron;t/kWh;1.8907e-06;1.715e-06;1.6518e-06
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX5_begr_betr_rf|Operation|Cement;t/kWh;5.3798e-07;4.6312e-07;4.3974e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX5_begr_betr_rf|End-of-life|Iron;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX5_begr_betr_rf|End-of-life|Cement;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX5_betr_rf|Construction|Iron;t/MW;167.4804;163.1796;161.1027
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX5_betr_rf|Construction|Cement;t/MW;54.718;53.3127;52.633
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX5_betr_rf|Operation|Iron;t/kWh;1.8051e-06;1.4083e-06;1.3923e-06
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX5_betr_rf|Operation|Cement;t/kWh;7.9056e-07;5.8767e-07;5.9456e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX5_betr_rf|End-of-life|Iron;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX5_betr_rf|End-of-life|Cement;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX5_betr_rf|Construction|Iron;t/MW;245.4903;239.1862;236.142
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX5_betr_rf|Construction|Cement;t/MW;80.2061;78.1461;77.1498
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX5_betr_rf|Operation|Iron;t/kWh;2.6996e-06;2.2258e-06;2.1997e-06
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX5_betr_rf|Operation|Cement;t/kWh;9.412e-07;7.0626e-07;7.1385e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX5_betr_rf|End-of-life|Iron;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX5_betr_rf|End-of-life|Cement;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX0_begr_betr_ir|Construction|Iron;t/MW;167.5002;163.1966;161.1182
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX0_begr_betr_ir|Construction|Cement;t/MW;54.7233;53.3172;52.6372
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX0_begr_betr_ir|Operation|Iron;t/kWh;2.7409e-06;2.2757e-06;2.3751e-06
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX0_begr_betr_ir|Operation|Cement;t/kWh;7.7177e-07;6.5772e-07;6.8733e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX0_begr_betr_ir|End-of-life|Iron;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX0_begr_betr_ir|End-of-life|Cement;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX0_begr_betr_ir|Construction|Iron;t/MW;245.5193;239.2112;236.1647
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX0_begr_betr_ir|Construction|Cement;t/MW;80.2138;78.1527;77.1559
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX0_begr_betr_ir|Operation|Iron;t/kWh;3.78e-06;3.2271e-06;3.3342e-06
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX0_begr_betr_ir|Operation|Cement;t/kWh;9.1954e-07;7.8713e-07;8.2094e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX0_begr_betr_ir|End-of-life|Iron;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX0_begr_betr_ir|End-of-life|Cement;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX0_begr_betr_rf|Construction|Iron;t/MW;167.5002;163.1966;161.1182
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX0_begr_betr_rf|Construction|Cement;t/MW;54.7233;53.3172;52.6372
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX0_begr_betr_rf|Operation|Iron;t/kWh;1.0968e-06;9.6779e-07;9.4837e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX0_begr_betr_rf|Operation|Cement;t/kWh;4.3347e-07;3.7333e-07;3.711e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX0_begr_betr_rf|End-of-life|Iron;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX0_begr_betr_rf|End-of-life|Cement;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX0_begr_betr_rf|Construction|Iron;t/MW;245.5193;239.2112;236.1647
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX0_begr_betr_rf|Construction|Cement;t/MW;80.2138;78.1527;77.1559
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX0_begr_betr_rf|Operation|Iron;t/kWh;1.8821e-06;1.7173e-06;1.6873e-06
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX0_begr_betr_rf|Operation|Cement;t/kWh;5.2901e-07;4.5886e-07;4.5591e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX0_begr_betr_rf|End-of-life|Iron;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX0_begr_betr_rf|End-of-life|Cement;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX0_betr_rf|Construction|Iron;t/MW;167.5002;163.1966;161.1182
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX0_betr_rf|Construction|Cement;t/MW;54.7233;53.3172;52.6372
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX0_betr_rf|Operation|Iron;t/kWh;1.7004e-06;1.4223e-06;1.443e-06
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX0_betr_rf|Operation|Cement;t/kWh;7.2182e-07;5.8713e-07;6.175e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX0_betr_rf|End-of-life|Iron;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, TAX0_betr_rf|End-of-life|Cement;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX0_betr_rf|Construction|Iron;t/MW;245.5193;239.2112;236.1647
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX0_betr_rf|Construction|Cement;t/MW;80.2138;78.1527;77.1559
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX0_betr_rf|Operation|Iron;t/kWh;2.5788e-06;2.242e-06;2.2582e-06
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX0_betr_rf|Operation|Cement;t/kWh;8.6187e-07;7.0566e-07;7.4034e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX0_betr_rf|End-of-life|Iron;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, TAX0_betr_rf|End-of-life|Cement;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, residue|Construction|Iron;t/MW;167.4804;163.1796;161.1027
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, residue|Construction|Cement;t/MW;54.718;53.3127;52.633
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, residue|Operation|Iron;t/kWh;1.9256e-06;1.8757e-06;1.8513e-06
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, residue|Operation|Cement;t/kWh;5.7821e-07;5.6316e-07;5.5575e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, residue|End-of-life|Iron;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio wo CCS, residue|End-of-life|Cement;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, residue|Construction|Iron;t/MW;245.4903;239.1862;236.142
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, residue|Construction|Cement;t/MW;80.2061;78.1461;77.1498
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, residue|Operation|Iron;t/kWh;2.8402e-06;2.7667e-06;2.7309e-06
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, residue|Operation|Cement;t/kWh;6.968e-07;6.7867e-07;6.6973e-07
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, residue|End-of-life|Iron;t/MW;0;0;0
NTNU_LCA;BLUE_Map;CN;Energy service requirements|Bio w CCS, residue|End-of-life|Cement;t/MW;0;0;0
NTNU_LCA;BLUE_Map;IN;Energy service requirements|PV|Construction|Iron;t/MW;78.9545;60.429;51.5037
NTNU_LCA;BLUE_Map;IN;Energy service requirements|PV|Construction|Cement;t/MW;26.4533;18.2592;15.1368
NTNU_LCA;BLUE_Map;IN;Energy service requirements|PV|Operation|Iron;t/MW/yr;0.0011193;0.00078617;0.00064176
NTNU_LCA;BLUE_Map;IN;Energy service requirements|PV|Operation|Cement;t/MW/yr;0.00029996;0.00021025;0.00017159
