region;parameter;value
AFR;p00;+0.0000
AFR;p10;-0.0000
AFR;p01;-0.1224
AFR;p20;+0.0001
AFR;p11;+0.6973
AFR;p02;+1.2398
AFR;p30;-0.0000
AFR;p21;-0.3289
AFR;p12;-0.2148
AFR;p03;-0.1602
Brazil;p00;+0.0000
Brazil;p10;-0.1930
Brazil;p01;-0.3279
Brazil;p20;+0.6713
Brazil;p11;+1.6375
Brazil;p02;+1.8453
Brazil;p30;-0.4071
Brazil;p21;-1.2294
Brazil;p12;-0.7936
Brazil;p03;-0.6663
China;p00;+0.0000
China;p10;-0.0143
China;p01;-0.1589
China;p20;+0.1552
China;p11;+0.9450
China;p02;+1.6788
China;p30;-0.1194
China;p21;-0.3053
China;p12;-0.4291
China;p03;-0.9036
EU;p00;+0.0000
EU;p10;-0.1293
EU;p01;-0.3767
EU;p20;+0.3966
EU;p11;+1.0392
EU;p02;+2.4184
EU;p30;-0.2494
EU;p21;-0.6033
EU;p12;-0.5773
EU;p03;-1.5181
India;p00;+0.0000
India;p10;+0.0069
India;p01;-0.3556
India;p20;+0.0611
India;p11;+1.4236
India;p02;+2.1421
India;p30;-0.0644
India;p21;-0.7989
India;p12;-1.4351
India;p03;-0.8622
Japan;p00;+0.0000
Japan;p10;-0.0704
Japan;p01;-0.3587
Japan;p20;+0.2815
Japan;p11;+1.6315
Japan;p02;+2.5740
Japan;p30;-0.1944
Japan;p21;-0.5638
Japan;p12;-1.4375
Japan;p03;-1.7327
MEA;p00;+0.0000
MEA;p10;-0.0037
MEA;p01;-0.1313
MEA;p20;+0.0386
MEA;p11;+0.8231
MEA;p02;+1.3688
MEA;p30;-0.0187
MEA;p21;-0.6507
MEA;p12;-0.4602
MEA;p03;-0.5545
USA;p00;+0.0000
USA;p10;-0.1158
USA;p01;-0.3268
USA;p20;+0.3827
USA;p11;+1.2834
USA;p02;+1.8678
USA;p30;-0.2243
USA;p21;-1.2162
USA;p12;-0.5805
USA;p03;-0.9933
