crop,spi
-0.8668154,-2.393939
-0.8668154,-2.333333
-0.8668154,-2.272727
-0.8668154,-2.212121
-0.8668154,-2.151515
-0.8668154,-2.090909
-0.8668154,-2.030303
-0.8668154,-1.969697
-0.8668154,-1.909091
-0.8668154,-1.848485
-0.8668154,-1.787879
-0.8668154,-1.727273
-0.8668154,-1.666667
-0.8668154,-1.606061
-0.8668154,-1.545455
-0.8668154,-1.484848
-0.8668154,-1.424242
-0.8668154,-1.363636
-0.8668154,-1.30303
-0.8668154,-1.242424
-0.8668154,-1.181818
-0.8668154,-1.121212
-0.8668154,-1.060606
-0.8668154,-1
-0.8668154,-0.9393939
-0.8668154,-0.8787879
-0.8668154,-0.8181818
-0.8668154,-0.7575758
-0.8668154,-0.6969697
-0.8668154,-0.6363636
-0.8668154,-0.5757576
-0.8668154,-0.5151515
-0.8668154,-0.4545455
-0.8668154,-0.3939394
-0.8668154,-0.3333333
-0.8668154,-0.2727273
-0.8668154,-0.2121212
-0.8668154,-0.1515152
-0.8668154,-0.09090909
-0.8668154,-0.03030303
-0.8668154,0.03030303
-0.8668154,0.09090909
-0.8668154,0.1515152
-0.8668154,0.2121212
-0.8668154,0.2727273
-0.8668154,0.3333333
-0.8668154,0.3939394
-0.8668154,0.4545455
-0.8668154,0.5151515
-0.8668154,0.5757576
-0.8668154,0.6363636
-0.8668154,0.6969697
-0.8668154,0.7575758
-0.8668154,0.8181818
-0.8668154,0.8787879
-0.8668154,0.9393939
-0.8668154,1
-0.8668154,1.060606
-0.8668154,1.121212
-0.8668154,1.181818
-0.8668154,1.242424
-0.8668154,1.30303
-0.8668154,1.363636
-0.8668154,1.424242
-0.8668154,1.484848
-0.8668154,1.545455
-0.8668154,1.606061
-0.8668154,1.666667
-0.8668154,1.727273
-0.8668154,1.787879
-0.8668154,1.848485
-0.8668154,1.909091
-0.8668154,1.969697
-0.8668154,2.030303
-0.8668154,2.090909
-0.8668154,2.151515
-0.8668154,2.212121
-0.8668154,2.272727
-0.8668154,2.333333
-0.8668154,2.393939
-0.8668154,2.454545
-0.8668154,2.515152
-0.8668154,2.575758
-0.8668154,2.636364
-0.8668154,2.69697
-0.8668154,2.757576
-0.8668154,2.818182
-0.8668154,2.878788
-0.8668154,2.939394
-0.8668154,3
-0.866815386,-3
-0.866815386,-2.939393939
-0.866815386,-2.878787879
-0.866815386,-2.818181818
-0.866815386,-2.757575758
-0.866815386,-2.696969697
-0.866815386,-2.636363636
-0.866815386,-2.575757576
-0.866815386,-2.515151515
-0.866815386,-2.454545455
-0.7649407,-2.393939
-0.7649407,-2.333333
-0.7649407,-2.272727
-0.7649407,-2.212121
-0.7649407,-2.151515
-0.7649407,-2.090909
-0.7649407,-2.030303
-0.7649407,-1.969697
-0.7649407,-1.909091
-0.7649407,-1.848485
-0.7649407,-1.787879
-0.7649407,-1.727273
-0.7649407,-1.666667
-0.7649407,-1.606061
