SPI,crop
-0.503527173,-0.61
-0.494877681,-0.448
-0.650975638,-0.354
-0.12506772,-0.261
0.790827124,-0.064
-0.047555727,0.00568
0.595241792,-0.0395
-1.585963451,-0.124
0.341905375,-0.00559
0.962133303,-0.108
0.402867845,0.159
-0.140592091,0.153
-0.105741808,0.0696
0.639658524,0.222
0.667017692,0.362
0.759945375,0.149
0.662961593,0.452
1.070109513,0.446
0.022697356,0.517
1.111372735,0.525
0.461808659,0.613
-0.255323171,0.389
-0.876046849,0.273
-0.036627973,0.303
-0.951433751,0.44
-1.380536322,-0.838
-0.814893811,0.00467
-0.001570786,-0.0163
-0.61634815,-0.353
-0.172109357,-0.488
0.342019105,-0.392
0.055354605,-0.438
0.373524494,-0.545
